player_id,from_club_id,to_club_id
463601,9010,515
464378,1467,515
464906,1304,515
465715,903,515
465836,667,8
467250,660,18
467434,18,23826
468539,27,180
468540,2976,4284
469781,989,148
470038,41,39
470815,39,515
471494,5551,515
474800,826,244
475431,6110,515
478317,336,1075
478347,324,7769
478588,29831,515
479718,118373,515
480874,8445,515
481116,2727,515
481262,4947,515
481513,347,515
481692,7831,515
483593,71085,515
483715,29700,41061
485965,82,515
486132,6676,515
487693,2720,54649
487843,5,252
488996,1005,515
489357,12533,515
490819,34911,515
491026,3062,515
491292,798,515
491296,826,265
493513,11,86
494283,14078,515
494830,2157,515
497143,1519,515
499196,242,515
499319,504,515
499735,970,515
500758,242,515
501250,1083,515
501736,6632,515
502302,58,515
503679,31,515
503733,762,131
503765,9250,515
503866,273,41
504259,354,515
504518,987,2455
505561,349,3820
511883,272,10586
512385,989,609
515050,1083,16704
515056,14589,515
515458,6632,515
517821,14589,515
519011,3551,515
520492,865,515
523947,2118,515
524315,336,515
524687,468,515
524937,415,515
524988,9465,515
525602,1465,515
526790,1241,515
529149,29700,515
529425,3508,2425
531634,2157,370
531824,6107,515
531840,370,515
533295,82,533
534677,653,515
535741,1304,515
536477,798,515
536722,10625,20
537706,392,515
538918,46,1390
539043,371,238
539044,9708,515
539425,338,48332
539797,434,515
539811,242,1277
539907,2573,2156
540306,8590,2407
540927,1269,366
541134,200,26069
542138,12301,12458
542168,25444,21283
542526,316,515
542586,399,515
543302,3508,1184
547750,46710,515
547822,443,515
549354,1519,515
549623,21283,515
550549,2118,515
550829,15,383
552472,130,515
552511,8818,515
552958,71085,515
558473,941,5225
559320,2282,515
559328,667,631
559484,94138,515
560306,35327,515
560532,20903,515
560763,7831,515
560827,71085,515
561241,27070,26199
561485,15831,515
564620,1269,123
565406,449,2293
565428,3057,515
565431,520,36407
566626,413,4467
567115,1241,3021
567148,43,1192
567479,120649,515
568006,289,515
568377,468,1269
568701,10004,515
570466,7160,515
570743,46710,515
570784,1184,515
571337,1076,515
571587,6038,515
572044,10093,515
574117,8606,1191
574501,3508,515
574927,6362,515
579124,23287,515
581879,4467,4443
583641,7831,515
583917,114,449
584358,17522,131588
585958,723,61
586023,349,515
587093,55265,515
590410,371,2760
590777,1434,200
590926,2832,515
591431,23297,515
593163,467,515
593411,952,515
597000,3,39
597104,23,1304
599215,1177,170
600151,952,6429
601143,39,409
602200,1241,2451
602906,11194,84
604366,29700,515
605167,465,2760
606752,1075,336
607057,255,20
608487,952,515
608832,60,29
609651,120649,515
610406,173,515
610442,985,6195
610479,242,515
610484,41278,515
611855,294,449
613968,2784,41278
613975,443,5767
613983,3508,515
614835,4785,16214
614898,2741,964
615033,1017,159
615107,456,6808
616430,8054,515
617679,2424,515
620295,86,60
620496,2157,122
622179,1241,3804
623325,660,294
623412,7769,515
623420,312,515
623458,11411,515
623745,3527,7154
623962,8445,515
624087,2311,515
625310,24325,515
626899,301,515
626913,380,398
627406,2720,515
627607,10755,24350
629032,122,1
629040,266,170
629879,788,515
631103,7831,515
631904,1269,187
631927,12,826
633668,1025,430
634145,6110,40604
634815,37255,301
634844,5817,515
635371,1090,515
639390,82696,5662
640109,1041,3709
641017,63993,46710
641122,9961,515
641765,952,41061
642591,7179,515
644244,265,80
645137,53646,3793
646739,10331,200
647281,1191,1519
652047,197,413
652633,43,515
654144,4961,515
654982,1003,79
655420,9010,515
655456,416,515
658052,15831,41061
658111,255,515
659311,504,515
659352,26,541
659622,71085,515
659813,15,11
660342,5689,515
663225,29,515
665618,38,33
667251,496,18
667263,10803,515
667497,1042,2804
669000,3524,120
