player_id,player_club_id
44424,354
44588,354
45501,172
45953,172
52807,354
52874,172
57840,172
5881,354
70778,172
8733,172
110082,601
111049,601
111061,601
126709,601
159098,601
18532,601
33848,601
36045,601
37857,601
42393,58
42703,601
42704,601
42737,601
44059,601
52506,601
120306,498
13036,566
13049,566
138736,566
18952,498
28890,566
34991,566
39928,566
40421,566
44060,566
60971,566
77140,566
83951,566
9667,566
100986,2282
101133,28643
122994,2282
13069,28643
13087,28643
13309,28643
13445,28643
15045,2282
18949,2282
24081,2282
24484,2282
33707,28643
35813,2282
38000,2282
38388,2282
38414,2282
38960,28643
41140,28643
44465,2282
4605,2282
51864,28643
62941,2282
6403,28643
65681,28643
74812,28643
85873,28643
85901,28643
96454,2282
113707,969
127160,969
139955,969
17965,1041
187847,1041
18909,1041
18912,1041
22386,969
22388,1041
23938,969
3165,1041
33914,1041
4811,969
5303,969
5495,969
5668,1041
57110,969
57186,1041
57449,969
57480,969
57515,1041
60542,1041
60885,969
6803,969
85863,1041
93678,969
93720,1041
139668,8024
26683,12438
58450,12438
63149,232
106632,2703
7633,2698
98543,2703
177688,3592
24032,3592
24061,9007
34670,10690
131678,678
4316,678
23389,2778
39897,2778
77259,2778
93739,173
104946,204
105092,204
108104,204
127202,204
130119,157
132414,204
13902,204
15409,204
15885,204
181791,204
30671,157
31062,204
34534,157
34913,204
47931,157
70870,204
82377,204
99442,204
111005,3057
125745,3057
142920,3508
147265,3508
149551,3508
160380,3057
19312,3508
195871,3508
20296,3508
22338,3057
22627,3508
33870,3057
37795,3057
41261,3508
42189,3057
4323,3057
45161,3508
45455,3057
47893,3057
48064,3508
55231,3057
58327,3057
61336,3508
67648,3057
6861,3508
77383,3057
9410,3508
101201,520
10183,1184
10244,520
13001,520
130963,520
13099,520
13111,520
135173,520
150076,1184
18418,520
19108,1184
24458,1184
26797,1184
42748,1184
4377,1184
50201,1184
57188,1184
63846,1184
77663,1184
78507,1184
89631,1184
90478,520
9596,520
9638,520
9665,520
172142,5227
44780,4814
57226,4814
56115,3336
94180,3336
35964,16704
45613,16704
48510,16704
6065,3725
20853,206
22467,1177
104223,234
111196,234
112052,234
130257,234
152651,234
182581,234
19721,338
22339,234
31453,234
45864,234
56371,234
56631,234
60744,234
62125,234
92936,234
9800,338
12663,987
12665,987
131161,265
13405,987
136647,265
13919,987
14170,987
157058,265
16408,265
16458,265
19286,265
22586,265
27667,265
30436,265
34283,265
43265,987
51321,987
51730,987
5418,265
61417,987
61666,987
62319,987
72651,265
78648,987
9852,265
99296,265
17140,36
18537,36
22382,36
33793,36
39333,36
4010,36
44402,36
45559,36
55382,36
55605,36
7043,36
7079,36
7319,36
7401,36
33831,7769
74314,7769
91991,697
101067,6028
13061,2282
3354,2282
153065,58
108878,371
12688,371
13561,371
34409,371
35587,371
36025,371
37428,371
42513,371
43925,371
52570,371
62246,371
6855,371
77760,371
84992,371
131163,3345
15153,1091
173405,1091
212832,1091
26099,1091
26582,1091
32806,1091
44714,1091
45970,1091
51166,1091
5712,1091
62460,1091
7737,1091
82215,1091
96778,1091
101088,1184
140803,1184
112991,1301
130616,1301
137710,1301
14137,1301
175597,1301
23974,1301
27369,1301
51288,6676
53071,1301
64635,1301
70724,1301
75141,6676
85842,1301
86062,1301
87422,1301
90660,1301
1161,46
20003,46
22202,46
28021,46
39090,46
39099,46
4314,46
4673,46
54149,46
5938,46
7520,46
79522,46
80444,46
95438,46
10424,1519
